system:index,mean,.geo
0,0.317203056790888,"{""type"":""Polygon"",""coordinates"":[[[-79.62106979445613,39.75439960369839],[-79.62106979445613,39.72096540514711],[-79.61897272384053,39.72097756420566],[-79.59449041070135,39.72099357489714],[-79.57615403025017,39.72102332855836],[-79.57615403025017,39.75439960369839],[-79.62106979445613,39.75439960369839]]]}"
1,0.32902751186822643,"{""type"":""Polygon"",""coordinates"":[[[-79.53123826604418,39.75439960369839],[-79.53123826604418,39.721039692961675],[-79.52375026488129,39.72105605233238],[-79.51528939555114,39.72112635731271],[-79.49971374224299,39.721110926011704],[-79.4871267904023,39.721174005177545],[-79.48632250183822,39.72117435728801],[-79.48632250183822,39.75439960369839],[-79.53123826604418,39.75439960369839]]]}"
2,0.327202184954299,"{""type"":""Polygon"",""coordinates"":[[[-79.57615403025017,39.75439960369839],[-79.57615403025017,39.72102332855836],[-79.57199610175982,39.721030075451296],[-79.54469914984976,39.72101028436739],[-79.53123826604418,39.721039692961675],[-79.53123826604418,39.75439960369839],[-79.57615403025017,39.75439960369839]]]}"
3,0.32695405170480013,"{""type"":""Polygon"",""coordinates"":[[[-79.48632250183822,39.75439960369839],[-79.48632250183822,39.72117435728801],[-79.47671957074381,39.72117856136685],[-79.4729668660487,39.72122637931066],[-79.44300271169172,39.72132012457338],[-79.44140673763222,39.72132794388702],[-79.44140673763222,39.75439960369839],[-79.48632250183822,39.75439960369839]]]}"
4,0.3035374813978733,"{""type"":""Polygon"",""coordinates"":[[[-79.44140673763222,39.75439960369839],[-79.39649097342625,39.754399603698396],[-79.39649097342625,39.78892186046181],[-79.44140673763222,39.78892186046181],[-79.44140673763222,39.75439960369839]]]}"
5,0.28373438643193477,"{""type"":""Polygon"",""coordinates"":[[[-79.57615403025017,39.75439960369839],[-79.53123826604418,39.75439960369839],[-79.53123826604418,39.78892186046181],[-79.57615403025017,39.78892186046181],[-79.57615403025017,39.75439960369839]]]}"
6,0.299904786954839,"{""type"":""Polygon"",""coordinates"":[[[-79.53123826604418,39.75439960369839],[-79.48632250183822,39.75439960369839],[-79.48632250183822,39.78892186046181],[-79.53123826604418,39.78892186046181],[-79.53123826604418,39.75439960369839]]]}"
7,0.29383306296455636,"{""type"":""Polygon"",""coordinates"":[[[-79.48632250183822,39.75439960369839],[-79.44140673763222,39.75439960369839],[-79.44140673763222,39.78892186046181],[-79.48632250183822,39.78892186046181],[-79.48632250183822,39.75439960369839]]]}"
8,0.3122746472460872,"{""type"":""Polygon"",""coordinates"":[[[-79.53123826604418,39.78892186046181],[-79.48632250183822,39.78892186046181],[-79.48632250183822,39.823426802326004],[-79.53123826604418,39.823426802326004],[-79.53123826604418,39.78892186046181]]]}"
9,0.3529714228455078,"{""type"":""Polygon"",""coordinates"":[[[-79.57615403025017,39.78892186046181],[-79.53123826604418,39.78892186046181],[-79.53123826604418,39.823426802326004],[-79.57615403025017,39.823426802326004],[-79.57615403025017,39.78892186046181]]]}"
