system:index,mean,.geo
0,0.21448331718219404,"{""type"":""Polygon"",""coordinates"":[[[-79.62106979445613,39.75439960369839],[-79.62106979445613,39.72096540514711],[-79.61897272384053,39.72097756420566],[-79.59449041070135,39.72099357489714],[-79.57615403025017,39.72102332855836],[-79.57615403025017,39.75439960369839],[-79.62106979445613,39.75439960369839]]]}"
1,0.24311051973543105,"{""type"":""Polygon"",""coordinates"":[[[-79.53123826604418,39.75439960369839],[-79.53123826604418,39.721039692961675],[-79.52375026488129,39.72105605233238],[-79.51528939555114,39.72112635731271],[-79.49971374224299,39.721110926011704],[-79.4871267904023,39.721174005177545],[-79.48632250183822,39.72117435728801],[-79.48632250183822,39.75439960369839],[-79.53123826604418,39.75439960369839]]]}"
2,0.20113224746294625,"{""type"":""Polygon"",""coordinates"":[[[-79.57615403025017,39.75439960369839],[-79.57615403025017,39.72102332855836],[-79.57199610175982,39.721030075451296],[-79.54469914984976,39.72101028436739],[-79.53123826604418,39.721039692961675],[-79.53123826604418,39.75439960369839],[-79.57615403025017,39.75439960369839]]]}"
3,0.24001831025447384,"{""type"":""Polygon"",""coordinates"":[[[-79.48632250183822,39.75439960369839],[-79.48632250183822,39.72117435728801],[-79.47671957074381,39.72117856136685],[-79.4729668660487,39.72122637931066],[-79.44300271169172,39.72132012457338],[-79.44140673763222,39.72132794388702],[-79.44140673763222,39.75439960369839],[-79.48632250183822,39.75439960369839]]]}"
4,0.21565232033513487,"{""type"":""Polygon"",""coordinates"":[[[-79.44140673763222,39.75439960369839],[-79.39649097342625,39.754399603698396],[-79.39649097342625,39.78892186046181],[-79.44140673763222,39.78892186046181],[-79.44140673763222,39.75439960369839]]]}"
5,0.21515618955478943,"{""type"":""Polygon"",""coordinates"":[[[-79.57615403025017,39.75439960369839],[-79.53123826604418,39.75439960369839],[-79.53123826604418,39.78892186046181],[-79.57615403025017,39.78892186046181],[-79.57615403025017,39.75439960369839]]]}"
6,0.21466032844364816,"{""type"":""Polygon"",""coordinates"":[[[-79.53123826604418,39.75439960369839],[-79.48632250183822,39.75439960369839],[-79.48632250183822,39.78892186046181],[-79.53123826604418,39.78892186046181],[-79.53123826604418,39.75439960369839]]]}"
7,0.21142335193555667,"{""type"":""Polygon"",""coordinates"":[[[-79.48632250183822,39.75439960369839],[-79.44140673763222,39.75439960369839],[-79.44140673763222,39.78892186046181],[-79.48632250183822,39.78892186046181],[-79.48632250183822,39.75439960369839]]]}"
8,0.21097884744672563,"{""type"":""Polygon"",""coordinates"":[[[-79.53123826604418,39.78892186046181],[-79.48632250183822,39.78892186046181],[-79.48632250183822,39.823426802326004],[-79.53123826604418,39.823426802326004],[-79.53123826604418,39.78892186046181]]]}"
9,0.21601635387465987,"{""type"":""Polygon"",""coordinates"":[[[-79.57615403025017,39.78892186046181],[-79.53123826604418,39.78892186046181],[-79.53123826604418,39.823426802326004],[-79.57615403025017,39.823426802326004],[-79.57615403025017,39.78892186046181]]]}"
10,0.21834522622984837,"{""type"":""Polygon"",""coordinates"":[[[-79.84564861548601,39.754399603698396],[-79.84564861548601,39.720814182305986],[-79.84352595633487,39.72083111258577],[-79.80708021971671,39.720834306587086],[-79.80073285128005,39.720832954103564],[-79.80073285128005,39.75439960369839],[-79.84564861548601,39.754399603698396]]]}"
11,0.21196592852254958,"{""type"":""Polygon"",""coordinates"":[[[-79.98039590810394,39.75439960369839],[-79.98039590810394,39.720953300435],[-79.96380101700164,39.72090729744095],[-79.94057016706235,39.72078796161903],[-79.93548014389796,39.72077544379266],[-79.93548014389796,39.75439960369839],[-79.98039590810394,39.75439960369839]]]}"
12,0.19446644765761187,"{""type"":""Polygon"",""coordinates"":[[[-79.93548014389796,39.75439960369839],[-79.93548014389796,39.72077544379266],[-79.92942052031249,39.720760541440846],[-79.9160521735728,39.72073275098175],[-79.90216495732763,39.72067476578314],[-79.890564379692,39.72066020276503],[-79.890564379692,39.75439960369839],[-79.93548014389796,39.75439960369839]]]}"
13,0.20615694537208096,"{""type"":""Polygon"",""coordinates"":[[[-79.890564379692,39.75439960369839],[-79.890564379692,39.72066020276503],[-79.88181390238285,39.72064921767761],[-79.87475580111811,39.72067320767001],[-79.8534729009259,39.720751775988155],[-79.84564861548601,39.720814182305986],[-79.84564861548601,39.754399603698396],[-79.890564379692,39.75439960369839]]]}"
14,0.2107723102450525,"{""type"":""Polygon"",""coordinates"":[[[-79.84564861548601,39.754399603698396],[-79.80073285128005,39.75439960369839],[-79.80073285128005,39.78892186046181],[-79.84564861548601,39.78892186046181],[-79.84564861548601,39.754399603698396]]]}"
15,0.2134833915503796,"{""type"":""Polygon"",""coordinates"":[[[-79.890564379692,39.75439960369839],[-79.84564861548601,39.754399603698396],[-79.84564861548601,39.78892186046181],[-79.890564379692,39.78892186046181],[-79.890564379692,39.75439960369839]]]}"
